Unnamed: 0;apt;cluster;rwy;trajectory;Lat;Lon;x (m);y (m)
215;JAI;0;27;8;26.59582224217136;75.7443321108792;-6760.38828127513;-25302.61886058022
216;JAI;0;27;9;26.826225;75.83337222;2104.4681153060433;224.54698071859877
217;JAI;0;27;9;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
218;JAI;0;27;9;26.82303981314203;75.80067087836312;-1146.3062904144451;-128.49753354308137
219;JAI;0;27;9;26.82117569706389;75.7855488216987;-2649.6300072402555;-334.8169574047327
220;JAI;0;27;9;26.815031554288396;75.77413495426185;-3784.5027547009017;-1015.3033959696199
221;JAI;0;27;9;26.804919930152302;75.76856012032232;-4339.119835119777;-2135.5005640264526
222;JAI;0;27;9;26.79315328909618;75.76717073351485;-4477.722834424392;-3439.2049355441027
223;JAI;0;27;9;26.781293866250078;75.76726442367581;-4468.871738721606;-4753.24114629383
224;JAI;0;27;9;26.770129442225343;75.76773050546306;-4422.954941613642;-5990.283995604306
225;JAI;0;27;9;26.75921402106981;75.76827585060742;-4369.13553281027;-7199.73970852711
226;JAI;0;27;9;26.74797689087762;75.76880728685298;-4316.701505203373;-8444.840324255381
227;JAI;0;27;9;26.73641085015292;75.76926800654715;-4271.304620701067;-9726.381879964101
228;JAI;0;27;9;26.72570160080317;75.77003525703935;-4195.368482130103;-10913.000324017712
229;JAI;0;27;9;26.71538043083636;75.77073437882046;-4126.183043619399;-12056.616615309164
230;JAI;0;27;9;26.71021836727471;75.77100881306788;-4099.061374529258;-12628.586022272375
231;JAI;0;27;9;26.70380261962101;75.7712692338454;-4073.376533484615;-13339.46405853069
232;JAI;0;27;9;26.69147236327527;75.77172034250017;-4028.920565419541;-14705.6801109925
233;JAI;0;27;9;26.67717646561276;75.77135926336562;-4065.366347872734;-16289.664762041295
234;JAI;0;27;9;26.66315044081891;75.76856186460691;-4344.345373706298;-17843.666041277378
235;JAI;0;27;9;26.64965386701945;75.7639403970277;-4804.9776999844535;-19338.92973584619
236;JAI;0;27;9;26.636433819727213;75.7583966061075;-5357.544282358523;-20803.498584550092
237;JAI;0;27;9;26.623247811914247;75.75270056166089;-5925.399049014241;-22264.264474811385
238;JAI;0;27;9;26.610054664323467;75.74703068139566;-6490.779469999569;-23725.797183030863
239;JAI;0;27;9;26.5969105554353;75.74140136184137;-7052.247279174921;-25181.873227024505
240;JAI;0;27;10;26.826225;75.83337222;2104.4681153060433;224.54698071859877
241;JAI;0;27;10;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
